image_path,dish_name,ingredients,cuisine,,,Uniqueness Rating,Ingredient Availability Rating,Pricing Rating,Compliance Rating,Overall Rating,Approval Status
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/AK.png,Aatukkari Kuzhambu,"• Mutton - 500gms
• Oil – 1 tbsp
• Coconut – 2 tbsp
• Red Onion/ Shallots – 12 shallots or 2 small sized onion,/ 1 cup (chopped)
• Curry leaves – 1 sprig
• Tomatoes – 2 small, finely chopped
• Turmeric powder – 1 Tsp
• Red chilli powder – 1 tbsp
• Coriander leaves – 1 tbsp, chopped finely
• Salt – to taste",Chettinadu cuisine,,,8,7,6,9,8,Yes
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/CP.png,Cabbage Poriyal,"4 cups of cabbage chopped fine
1 tbsp of chana dal / kadalai paruppu soaked in warm water for 10 mins
2 tsp of oil
1/2 tsp of black mustard seeds
10 curry leaves
1/2 tsp of cumin powder optional
1/2 cup of sliced shallots or onions
1/4 tsp of turmeric powder
2 green chillies sliced (I used one red chilli and one green)
1/4 cup of grated coconut",Chettinadu cuisine,,,5,9,4,7,6,No
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/IY.png,Idiyappam,"300 grams Idiyappam , soaked in hot water, drained and set aside
10 Shallots , halved
2 Fresh Red Chilli , adjust according to heat of the chillies, crush them to a paste using mortar and pestle
1/2 Carrot (Gajjar) , peeled and thinly sliced
1/4 Green Bell Pepper (Capsicum) , thinly sliced",Chettinadu cuisine,,,7,6,5,8,6,Yes
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/KP.png,Kaikari Pirattal,"Mixed Vegetables - 2 cup(carrot, beans, potato)
Onion - 1, large
Tomato - 1
Coriander powder - 1 tsp
Chilli powder - 1 tsp
Turmeric - 1/4 tsp
Fennel seeds - 1/2 tsp
Cinnamon stick / Pattai - 2
Curry leaf - 1 sprig
Oil - 3 tblspn",Chettinadu cuisine,,,9,8,7,9,8,Yes
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/NS.png,Nariyal and Soya Paneer Vada,"2 cups fresh tofu, grated4 Tbsp paneer, grated3 Tbsp ginger, chopped1 Tbsp green chillies, chopped3 Tbsp garlic, chopped1 tsp curry leavesSalt to taste1 Tbsp fine sugar1 tsp garam masala powder1 tsp cinnamon powder1 tsp white pepper powder5 Tbsp coconut milk powder7 Tbsp almonds, peeled and chopped1 packet tempura batter mix10 Tbsp panko bread crumbsOil (for frying)2 Tbsp tomato pickle1 cup mayonnaise7 Tbsp cooked rice1 Tbsp oil1 tsp black mustard seeds1 Tbsp urad dal3 onions, chopped4 cucumbers, chopped2 Tbsp coriander, chopped5 Tbsp hung yogurt2 Tbsp cream2 Tbsp raw mangoFor Plating (optional)1 coconut, whole1 banana leaf",Chettinadu cuisine,,,6,7,5,6,6,No
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/PC.png,Palkatti Chettinadu,"2 tsp oil100 gms coriander seeds2 Coconuts (ground to a paste)10 gms cloves10 Cinnamon sticks10 Cardamoms2 tsp cumin2 tsp fennel seeds30 gms peppercorns5 gram kalpasi10 Star anise20 gms ginger20 gms garlic10 gms whole red chillies10 gms khuskhus (poppy seeds))small onions, choppedFor the main dish:1 tsp sesame (til)1 tsp mustard seeds1/2 tsp urad dal8-10 Curry leaves1 cup onions, chopped1 cup tomatoes, chopped1 tsp salttsp coriander powder1 tsp red chilli powder1 cup water3 tsp Chettinad paste20 Cottage cheese cubesOil",Chettinadu cuisine,,,8,8,6,7,7,Yes
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/PP.png,Paal Payasam,"Raw rice or red rice 50 gms ( 2 kai pidi). Will serve 8 people.if you dont have either of the two try with the rice you have at home.I think it wont do much harm
Milk 4 cups. ( 2 packets) or 800 ml
Sugar  300  gms ( if you dont want it too sweet then make it 200 gms)
Broken cashews and cardomom powder optional",Chettinadu cuisine,,,7,7,6,8,7,Yes
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/UR.png,"urlai roast 
","4 dried red chillies
1 teaspoon coriander seeds
1 inch cinnamon stick
1 cardamom
1 cloves
1 teaspoon fennel seeds
1 teaspoon cumin seeds
1 teaspoon black pepper
3 tablespoon shredded coconut
2 sprigs curry leaves",Chettinadu cuisine,,,6,5,6,7,6,No
C:/Users/lgspa/Downloads/cookr_hackthon/Chettinadu cuisine/VP.png,Vellai Paniyaram,"1 cup raw rice levelled
2 tablespoon urad dal heaped on raw rice
1/2 teaspoon sugar
salt to taste
water as needed",Chettinadu cuisine,,,7,6,5,8,7,Yes
C:/Users/lgspa/Downloads/cookr_hackthon/Kongu Nadu cuisine/APS.png,Arisi paruppu sadam,"Ponni rice 200 grams
Toor dal 200grams
Small onions peeled 100 grams
Red chillies 6 nos
Tomato 50 grams
Sesame oil 100 grams
Mustard 1/2 tsp
Jeera 1/4 tsp
Sambar powder 10 grams
Turneric powder 1/2 tsp
Curry leaves a sprig
Salt to taste
Water 750 ml",Kongu Nadu cuisine,,,8,7,7,9,8,No
